,No.,Time,Source,Destination,Protocol,Length,Info
160,161,25.478835,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
161,162,25.508951,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
162,163,25.508954,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
163,164,25.618729,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
164,165,25.61873,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
165,166,25.634798,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
166,167,25.6348,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
167,168,25.93129,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
168,169,25.931293,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
169,170,26.372792,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
170,171,26.372797,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
171,172,26.57482,192.168.56.101,192.168.56.255,BROWSER,217,Request Announcement NONE
172,173,26.574824,192.168.56.101,192.168.56.255,BROWSER,217,Request Announcement NONE
173,174,26.685178,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x025f A isatap
174,175,26.68518,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x025f A isatap
175,176,26.798015,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x025f A isatap
176,177,26.798017,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x025f A isatap
177,178,27.006458,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
178,179,27.006462,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
179,180,27.744554,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
180,181,27.744556,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
181,182,28.071344,192.168.56.101,192.168.56.255,BROWSER,217,Request Announcement NONE
182,183,28.071346,192.168.56.101,192.168.56.255,BROWSER,217,Request Announcement NONE
183,184,28.49318,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
184,185,28.493181,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
185,186,29.246458,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xc9cb A isatap
186,187,29.24646,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xc9cb A isatap
187,188,29.353732,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xc9cb A isatap
188,189,29.353734,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xc9cb A isatap
189,190,29.369641,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
190,191,29.369643,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
191,192,29.560519,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
192,193,29.560523,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
193,194,29.575085,192.168.56.101,192.168.56.255,BROWSER,217,Request Announcement NONE
194,195,29.575087,192.168.56.101,192.168.56.255,BROWSER,217,Request Announcement NONE
195,196,30.30747,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
196,197,30.307474,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
197,198,31.056495,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
198,199,31.056498,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
199,200,31.072881,192.168.56.101,192.168.56.255,BROWSER,229,Browser Election Request
200,201,31.072883,192.168.56.101,192.168.56.255,BROWSER,229,Browser Election Request
201,202,32.072248,192.168.56.101,192.168.56.255,BROWSER,229,Browser Election Request
202,203,32.072252,192.168.56.101,192.168.56.255,BROWSER,229,Browser Election Request
203,204,32.373503,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
204,205,32.373507,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
205,206,33.071882,192.168.56.101,192.168.56.255,BROWSER,229,Browser Election Request
206,207,33.071886,192.168.56.101,192.168.56.255,BROWSER,229,Browser Election Request
207,208,34.07331,192.168.56.101,192.168.56.255,BROWSER,229,Browser Election Request
208,209,34.073313,192.168.56.101,192.168.56.255,BROWSER,229,Browser Election Request
209,210,35.073901,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1d>
210,211,35.073904,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1d>
211,212,35.822487,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1d>
212,213,35.822489,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1d>
213,214,36.574545,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1d>
214,215,36.574549,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1d>
215,216,37.321534,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1d>
216,217,37.321538,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1d>
217,218,38.076136,192.168.56.101,192.168.56.255,NBNS,110,Registration NB <01><02>__MSBROWSE__<02><01>
218,219,38.07614,192.168.56.101,192.168.56.255,NBNS,110,Registration NB <01><02>__MSBROWSE__<02><01>
219,220,38.821885,192.168.56.101,192.168.56.255,NBNS,110,Registration NB <01><02>__MSBROWSE__<02><01>
220,221,38.821888,192.168.56.101,192.168.56.255,NBNS,110,Registration NB <01><02>__MSBROWSE__<02><01>
221,222,39.573265,192.168.56.101,192.168.56.255,NBNS,110,Registration NB <01><02>__MSBROWSE__<02><01>
222,223,39.573268,192.168.56.101,192.168.56.255,NBNS,110,Registration NB <01><02>__MSBROWSE__<02><01>
223,224,40.321816,192.168.56.101,192.168.56.255,NBNS,110,Registration NB <01><02>__MSBROWSE__<02><01>
224,225,40.32182,192.168.56.101,192.168.56.255,NBNS,110,Registration NB <01><02>__MSBROWSE__<02><01>
225,226,41.073947,192.168.56.101,192.168.56.255,BROWSER,217,Request Announcement NONE
226,227,41.073951,192.168.56.101,192.168.56.255,BROWSER,217,Request Announcement NONE
227,228,41.074015,192.168.56.101,192.168.56.255,BROWSER,217,Request Announcement NONE
228,229,41.074016,192.168.56.101,192.168.56.255,BROWSER,217,Request Announcement NONE
229,230,41.074864,192.168.56.101,192.168.56.255,BROWSER,247,"Domain/Workgroup Announcement WORKGROUP, NT Workstation, Domain Enum"
230,231,41.074866,192.168.56.101,192.168.56.255,BROWSER,247,"Domain/Workgroup Announcement WORKGROUP, NT Workstation, Domain Enum"
231,232,43.499296,192.168.56.101,192.168.56.255,BROWSER,243,"Local Master Announcement NONE, Workstation, Server, NT Workstation, Potential Browser, Master Browser"
232,233,43.499301,192.168.56.101,192.168.56.255,BROWSER,243,"Local Master Announcement NONE, Workstation, Server, NT Workstation, Potential Browser, Master Browser"
233,234,53.729226,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
234,235,53.72923,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
235,236,56.106062,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x96f1 A wpad
236,237,56.106064,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x96f1 A wpad
237,238,56.213165,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x96f1 A wpad
238,239,56.213166,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x96f1 A wpad
239,240,56.416426,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
240,241,56.416428,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
241,242,56.759732,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
242,243,56.759734,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
243,244,57.164897,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
244,245,57.164899,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
245,246,57.915304,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
246,247,57.915306,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
247,248,59.022214,192.168.56.101,8.8.8.8,DNS,79,Standard query 0x6e6e A clients2.google.com
248,249,59.0482,8.8.8.8,192.168.56.101,DNS,119,Standard query response 0x6e6e A clients2.google.com CNAME clients.l.google.com A 142.251.33.14
249,250,59.126267,192.168.56.101,142.251.33.14,TCP,66,49166  >  443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1
250,251,59.151333,142.251.33.14,192.168.56.101,TCP,58,"443  >  49166 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
251,252,59.151513,192.168.56.101,142.251.33.14,TCP,54,49166  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0
252,253,59.77534,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
253,254,59.775343,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
254,255,59.791005,192.168.56.101,142.251.33.14,TLSv1.2,215,Client Hello
255,256,59.791465,142.251.33.14,192.168.56.101,TCP,54,443  >  49166 [ACK] Seq=1 Ack=162 Win=65535 Len=0
256,257,59.812935,142.251.33.14,192.168.56.101,TLSv1.2,1514,Server Hello
257,258,59.812945,142.251.33.14,192.168.56.101,TCP,1514,443  >  49166 [ACK] Seq=1461 Ack=162 Win=65535 Len=1460 [TCP segment of a reassembled PDU]
258,259,59.813145,192.168.56.101,142.251.33.14,TCP,54,49166  >  443 [ACK] Seq=162 Ack=2921 Win=64240 Len=0
259,260,59.813263,142.251.33.14,192.168.56.101,TCP,1514,443  >  49166 [ACK] Seq=2921 Ack=162 Win=65535 Len=1460 [TCP segment of a reassembled PDU]
260,261,59.813272,142.251.33.14,192.168.56.101,TCP,1322,"443  >  49166 [PSH, ACK] Seq=4381 Ack=162 Win=65535 Len=1268 [TCP segment of a reassembled PDU]"
261,262,59.813463,192.168.56.101,142.251.33.14,TCP,54,49166  >  443 [ACK] Seq=162 Ack=5649 Win=64240 Len=0
262,263,59.813827,142.251.33.14,192.168.56.101,TLSv1.2,1067,"Certificate, Server Key Exchange, Server Hello Done"
263,264,60.0875,192.168.56.101,142.251.33.14,TCP,54,49166  >  443 [ACK] Seq=162 Ack=6662 Win=63227 Len=0
264,265,60.522368,192.168.56.101,142.251.33.14,TLSv1.2,180,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
