,No.,Time,Source,Destination,Protocol,Length,Info
16,17,6.756781,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Leave group ***.***.***.***
17,18,6.774019,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
18,19,6.774021,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
19,20,6.776856,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x4163 ANY None
20,21,6.776857,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x4163 ANY None
21,22,6.801381,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
22,23,6.801386,***.***.***.***,***.***.***.***,IGMPv3,54,Membership Report / Join group ***.***.***.*** for any sources
23,24,6.809214,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
24,25,6.809216,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
25,26,6.832026,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
26,27,6.832028,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
27,28,6.833383,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
28,29,6.833384,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
29,30,6.833439,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
30,31,6.83344,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
31,32,6.888705,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x4163 ANY None
32,33,6.888707,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x4163 ANY None
33,34,6.924128,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
34,35,6.924131,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has ***.***.***.***? Tell ***.***.***.***
35,36,6.924141,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,***.***.***.*** is at 0a:00:27:00:00:00
36,37,7.103792,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
37,38,7.103796,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
38,39,7.244044,***.***.***.***,***.***.***.***,IGMPv3,62,Membership Report / Join group ***.***.***.*** for any sources / Join group ***.***.***.*** for any sources
39,40,7.244046,***.***.***.***,***.***.***.***,IGMPv3,62,Membership Report / Join group ***.***.***.*** for any sources / Join group ***.***.***.*** for any sources
40,41,7.388364,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
41,42,7.388365,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
42,43,7.408353,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
43,44,7.408355,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
44,45,7.557079,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
45,46,7.557083,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
46,47,7.569142,***.***.***.***,***.***.***.***,UDP,666,57521  >  3702 Len=624
47,48,7.569147,***.***.***.***,***.***.***.***,UDP,666,57521  >  3702 Len=624
48,49,7.572476,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
49,50,7.572478,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
50,51,7.572523,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
51,52,7.572524,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
52,53,7.57256,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
53,54,7.572561,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
54,55,7.667981,***.***.***.***,***.***.***.***,UDP,666,57521  >  3702 Len=624
55,56,7.667986,***.***.***.***,***.***.***.***,UDP,666,57521  >  3702 Len=624
56,57,8.224656,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x21c1 A wpad
57,58,8.224657,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x21c1 A wpad
58,59,8.308792,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
59,60,8.308795,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
60,61,8.323498,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
61,62,8.323501,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<20>
62,63,8.323579,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
63,64,8.323581,***.***.***.***,***.***.***.***,NBNS,110,Registration NB NONE<00>
64,65,8.323636,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
65,66,8.323637,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<00>
66,67,8.32408,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x21c1 A wpad
