"Source","Destination","Protocol","Info"
"192.168.56.101","172.217.14.174","TCP","49169  >  443 [ACK] Seq=162 Ack=2825 Win=64240 Len=0"
"172.217.14.174","192.168.56.101","TCP","443  >  49169 [ACK] Seq=2825 Ack=162 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"172.217.14.174","192.168.56.101","TCP","443  >  49169 [ACK] Seq=4285 Ack=162 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"172.217.14.174","192.168.56.101","TLSv1.2","Certificate, Server Key Exchange, Server Hello Done"
"192.168.56.101","172.217.14.174","TCP","49169  >  443 [ACK] Seq=162 Ack=6660 Win=64240 Len=0"
"192.168.56.101","172.217.14.174","TLSv1.2","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"172.217.14.174","192.168.56.101","TCP","443  >  49169 [ACK] Seq=6660 Ack=288 Win=65535 Len=0"
"172.217.14.174","192.168.56.101","TLSv1.2","Change Cipher Spec, Encrypted Handshake Message"
"192.168.56.101","172.217.14.174","TCP","49169  >  443 [ACK] Seq=288 Ack=6711 Win=64189 Len=0"
"192.168.56.101","172.217.14.174","TLSv1.2","Application Data"
"172.217.14.174","192.168.56.101","TCP","443  >  49169 [ACK] Seq=6711 Ack=818 Win=65535 Len=0"
"172.217.14.174","192.168.56.101","TLSv1.2","Application Data"
"192.168.56.101","172.217.14.174","TCP","49169  >  443 [RST, ACK] Seq=818 Ack=6990 Win=0 Len=0"
"192.168.56.101","192.168.56.255","NBNS","Registration NB NONE<20>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB NONE<20>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB NONE<00>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB NONE<00>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB WORKGROUP<00>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB WORKGROUP<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB ISATAP<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB ISATAP<00>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB WORKGROUP<00>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB WORKGROUP<00>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB NONE<00>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB NONE<00>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB NONE<20>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB NONE<20>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB ISATAP<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB ISATAP<00>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB NONE<20>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB NONE<20>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB NONE<00>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB NONE<00>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB WORKGROUP<00>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB WORKGROUP<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB WPAD<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB WPAD<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB ISATAP<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB ISATAP<00>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB WORKGROUP<00>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB WORKGROUP<00>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB NONE<00>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB NONE<00>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB NONE<20>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB NONE<20>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB WPAD<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB WPAD<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB ISATAP<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB ISATAP<00>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB WORKGROUP<1e>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB WORKGROUP<1e>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB WPAD<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB WPAD<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB ISATAP<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB ISATAP<00>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB WORKGROUP<1e>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB WORKGROUP<1e>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB ISATAP<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB ISATAP<00>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB WORKGROUP<1e>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB WORKGROUP<1e>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB WORKGROUP<1e>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB WORKGROUP<1e>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB ISATAP<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB ISATAP<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB ISATAP<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB ISATAP<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB ISATAP<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB ISATAP<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB ISATAP<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB ISATAP<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB ISATAP<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB ISATAP<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB ISATAP<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB ISATAP<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB ISATAP<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB ISATAP<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB ISATAP<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB ISATAP<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB ISATAP<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB ISATAP<00>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB WORKGROUP<1d>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB WORKGROUP<1d>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB WORKGROUP<1d>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB WORKGROUP<1d>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB WORKGROUP<1d>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB WORKGROUP<1d>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB WORKGROUP<1d>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB WORKGROUP<1d>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB <01><02>__MSBROWSE__<02><01>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB <01><02>__MSBROWSE__<02><01>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB <01><02>__MSBROWSE__<02><01>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB <01><02>__MSBROWSE__<02><01>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB <01><02>__MSBROWSE__<02><01>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB <01><02>__MSBROWSE__<02><01>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB <01><02>__MSBROWSE__<02><01>"
"192.168.56.101","192.168.56.255","NBNS","Registration NB <01><02>__MSBROWSE__<02><01>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB WPAD<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB WPAD<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB WPAD<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB WPAD<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB WPAD<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB WPAD<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB WPAD<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB WPAD<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB WPAD<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB WPAD<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB WPAD<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB WPAD<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB WPAD<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB WPAD<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB WPAD<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB WPAD<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB WPAD<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB WPAD<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB WPAD<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB WPAD<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB WPAD<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB WPAD<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB WPAD<00>"
"192.168.56.101","192.168.56.255","NBNS","Name query NB WPAD<00>"
"192.168.56.101","192.168.56.255","BROWSER","Request Announcement NONE"
"192.168.56.101","192.168.56.255","BROWSER","Request Announcement NONE"
"192.168.56.101","192.168.56.255","BROWSER","Host Announcement NONE, Workstation, Server, NT Workstation, Potential Browser"
"192.168.56.101","192.168.56.255","BROWSER","Host Announcement NONE, Workstation, Server, NT Workstation, Potential Browser"
"192.168.56.101","192.168.56.255","BROWSER","Request Announcement NONE"
"192.168.56.101","192.168.56.255","BROWSER","Request Announcement NONE"
"192.168.56.101","192.168.56.255","BROWSER","Request Announcement NONE"
"192.168.56.101","192.168.56.255","BROWSER","Request Announcement NONE"
"192.168.56.101","192.168.56.255","BROWSER","Request Announcement NONE"
"192.168.56.101","192.168.56.255","BROWSER","Request Announcement NONE"
"192.168.56.101","192.168.56.255","BROWSER","Browser Election Request"
"192.168.56.101","192.168.56.255","BROWSER","Browser Election Request"
"192.168.56.101","192.168.56.255","BROWSER","Browser Election Request"
"192.168.56.101","192.168.56.255","BROWSER","Browser Election Request"
"192.168.56.101","192.168.56.255","BROWSER","Browser Election Request"
"192.168.56.101","192.168.56.255","BROWSER","Browser Election Request"
"192.168.56.101","192.168.56.255","BROWSER","Browser Election Request"
"192.168.56.101","192.168.56.255","BROWSER","Browser Election Request"
"192.168.56.101","192.168.56.255","BROWSER","Request Announcement NONE"
"192.168.56.101","192.168.56.255","BROWSER","Request Announcement NONE"
"192.168.56.101","192.168.56.255","BROWSER","Request Announcement NONE"
"192.168.56.101","192.168.56.255","BROWSER","Request Announcement NONE"
"192.168.56.101","192.168.56.255","BROWSER","Domain/Workgroup Announcement WORKGROUP, NT Workstation, Domain Enum"
"192.168.56.101","192.168.56.255","BROWSER","Domain/Workgroup Announcement WORKGROUP, NT Workstation, Domain Enum"
"192.168.56.101","192.168.56.255","BROWSER","Local Master Announcement NONE, Workstation, Server, NT Workstation, Potential Browser, Master Browser"
"192.168.56.101","192.168.56.255","BROWSER","Local Master Announcement NONE, Workstation, Server, NT Workstation, Potential Browser, Master Browser"
"192.168.56.101","192.168.56.255","BROWSER","Domain/Workgroup Announcement WORKGROUP, NT Workstation, Domain Enum"
"192.168.56.101","192.168.56.255","BROWSER","Domain/Workgroup Announcement WORKGROUP, NT Workstation, Domain Enum"
"192.168.56.101","224.0.0.22","IGMPv3","Membership Report / Leave group 224.0.0.252"
"192.168.56.101","224.0.0.22","IGMPv3","Membership Report / Leave group 224.0.0.252"
"192.168.56.101","224.0.0.22","IGMPv3","Membership Report / Join group 224.0.0.252 for any sources"
"192.168.56.101","224.0.0.22","IGMPv3","Membership Report / Join group 224.0.0.252 for any sources"
"192.168.56.101","224.0.0.22","IGMPv3","Membership Report / Join group 239.255.255.250 for any sources"
"192.168.56.101","224.0.0.22","IGMPv3","Membership Report / Join group 239.255.255.250 for any sources"
"192.168.56.101","224.0.0.22","IGMPv3","Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources"
"192.168.56.101","224.0.0.22","IGMPv3","Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0xf66d A wpad"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0xf66d A wpad"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0xf66d A wpad"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0xf66d A wpad"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0xc9cb A isatap"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0xc9cb A isatap"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0xc9cb A isatap"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0xc9cb A isatap"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0x971a A isatap"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0x971a A isatap"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0x971a A isatap"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0x971a A isatap"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0x6ea7 A wpad"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0x6ea7 A wpad"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0x6ea7 A wpad"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0x6ea7 A wpad"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0xc4c8 A wpad"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0xc4c8 A wpad"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0xc4c8 A wpad"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0xc4c8 A wpad"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0x4163 A isatap"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0x4163 A isatap"
"192.168.56.101","224.0.0.252","LLMNR","Standard query 0x4163 A isatap"
