,No.,Time,Source,Destination,Protocol,Length,Info
143,144,20.927048,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
144,145,21.132653,***.***.***.***,***.***.***.***,BROWSER,217,Request Announcement NONE
145,146,21.132657,***.***.***.***,***.***.***.***,BROWSER,217,Request Announcement NONE
146,147,21.149714,***.***.***.***,***.***.***.***,BROWSER,243,"Host Announcement NONE, Workstation, Server, NT Workstation, Potential Browser"
147,148,21.149716,***.***.***.***,***.***.***.***,BROWSER,243,"Host Announcement NONE, Workstation, Server, NT Workstation, Potential Browser"
148,149,21.404587,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
149,150,21.404591,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
150,151,21.489254,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
151,152,21.489256,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
152,153,21.519573,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
153,154,21.519575,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
154,155,21.551088,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
155,156,21.551092,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
156,157,21.675859,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
157,158,21.675863,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
158,159,21.816943,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
159,160,21.816958,***.***.***.***,***.***.***.***,SSDP,139,M-SEARCH * HTTP/1.1 
160,161,21.817615,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
161,162,21.817617,***.***.***.***,***.***.***.***,SSDP,171,M-SEARCH * HTTP/1.1 
162,163,22.433369,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xc9cb A isatap
163,164,22.433372,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xc9cb A isatap
164,165,22.537776,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xc9cb A isatap
165,166,22.537777,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0xc9cb A isatap
166,167,22.622304,***.***.***.***,***.***.***.***,BROWSER,217,Request Announcement NONE
167,168,22.622306,***.***.***.***,***.***.***.***,BROWSER,217,Request Announcement NONE
168,169,22.757744,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
169,170,22.757747,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
170,171,23.488506,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
171,172,23.488509,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
172,173,24.113288,***.***.***.***,***.***.***.***,BROWSER,217,Request Announcement NONE
173,174,24.113291,***.***.***.***,***.***.***.***,BROWSER,217,Request Announcement NONE
174,175,24.238771,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
175,176,24.238775,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
176,177,24.396232,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
177,178,24.396236,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
178,179,24.993619,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x96f1 A isatap
179,180,24.993621,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x96f1 A isatap
180,181,25.098496,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x96f1 A isatap
181,182,25.098497,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x96f1 A isatap
182,183,25.302534,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
183,184,25.302537,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
184,185,25.619324,***.***.***.***,***.***.***.***,BROWSER,217,Request Announcement NONE
185,186,25.619327,***.***.***.***,***.***.***.***,BROWSER,217,Request Announcement NONE
186,187,26.057949,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
187,188,26.057954,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
188,189,26.80317,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
189,190,26.803174,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
190,191,27.11629,***.***.***.***,***.***.***.***,BROWSER,229,Browser Election Request
191,192,27.116292,***.***.***.***,***.***.***.***,BROWSER,229,Browser Election Request
192,193,27.399693,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
193,194,27.399696,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
194,195,27.556394,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x6e6e A isatap
195,196,27.556396,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x6e6e A isatap
196,197,27.661228,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x6e6e A isatap
197,198,27.661229,***.***.***.***,***.***.***.***,LLMNR,66,Standard query 0x6e6e A isatap
198,199,27.865915,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
199,200,27.865918,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
200,201,28.113701,***.***.***.***,***.***.***.***,BROWSER,229,Browser Election Request
201,202,28.113705,***.***.***.***,***.***.***.***,BROWSER,229,Browser Election Request
202,203,28.615419,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
203,204,28.615423,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
204,205,29.115163,***.***.***.***,***.***.***.***,BROWSER,229,Browser Election Request
205,206,29.115167,***.***.***.***,***.***.***.***,BROWSER,229,Browser Election Request
206,207,29.36931,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
207,208,29.369314,***.***.***.***,***.***.***.***,NBNS,92,Name query NB ISATAP<00>
208,209,30.114984,***.***.***.***,***.***.***.***,BROWSER,229,Browser Election Request
209,210,30.114988,***.***.***.***,***.***.***.***,BROWSER,229,Browser Election Request
210,211,31.113795,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1d>
211,212,31.113797,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1d>
212,213,31.866795,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1d>
213,214,31.866798,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1d>
214,215,32.618687,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1d>
215,216,32.618691,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1d>
216,217,33.364184,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1d>
217,218,33.364188,***.***.***.***,***.***.***.***,NBNS,110,Registration NB WORKGROUP<1d>
218,219,34.113283,***.***.***.***,***.***.***.***,NBNS,110,Registration NB <01><02>__MSBROWSE__<02><01>
219,220,34.113286,***.***.***.***,***.***.***.***,NBNS,110,Registration NB <01><02>__MSBROWSE__<02><01>
220,221,34.865809,***.***.***.***,***.***.***.***,NBNS,110,Registration NB <01><02>__MSBROWSE__<02><01>
221,222,34.865811,***.***.***.***,***.***.***.***,NBNS,110,Registration NB <01><02>__MSBROWSE__<02><01>
222,223,35.614058,***.***.***.***,***.***.***.***,NBNS,110,Registration NB <01><02>__MSBROWSE__<02><01>
223,224,35.614061,***.***.***.***,***.***.***.***,NBNS,110,Registration NB <01><02>__MSBROWSE__<02><01>
224,225,36.363269,***.***.***.***,***.***.***.***,NBNS,110,Registration NB <01><02>__MSBROWSE__<02><01>
225,226,36.363273,***.***.***.***,***.***.***.***,NBNS,110,Registration NB <01><02>__MSBROWSE__<02><01>
226,227,37.116935,***.***.***.***,***.***.***.***,BROWSER,217,Request Announcement NONE
227,228,37.116939,***.***.***.***,***.***.***.***,BROWSER,217,Request Announcement NONE
228,229,37.117013,***.***.***.***,***.***.***.***,BROWSER,217,Request Announcement NONE
229,230,37.117014,***.***.***.***,***.***.***.***,BROWSER,217,Request Announcement NONE
230,231,37.118035,***.***.***.***,***.***.***.***,BROWSER,247,"Domain/Workgroup Announcement WORKGROUP, NT Workstation, Domain Enum"
231,232,37.118036,***.***.***.***,***.***.***.***,BROWSER,247,"Domain/Workgroup Announcement WORKGROUP, NT Workstation, Domain Enum"
232,233,39.525821,***.***.***.***,***.***.***.***,BROWSER,243,"Local Master Announcement NONE, Workstation, Server, NT Workstation, Potential Browser, Master Browser"
233,234,39.525825,***.***.***.***,***.***.***.***,BROWSER,243,"Local Master Announcement NONE, Workstation, Server, NT Workstation, Potential Browser, Master Browser"
234,235,49.740613,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
235,236,49.740617,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
236,237,50.894219,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x6cfb A wpad
237,238,50.894221,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x6cfb A wpad
238,239,50.990207,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x6cfb A wpad
239,240,50.990209,***.***.***.***,***.***.***.***,LLMNR,64,Standard query 0x6cfb A wpad
240,241,51.201337,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
241,242,51.201341,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
242,243,51.941779,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
243,244,51.941782,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
244,245,52.691584,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
245,246,52.691588,***.***.***.***,***.***.***.***,NBNS,92,Name query NB WPAD<00>
246,247,52.739635,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
247,248,52.739637,***.***.***.***,***.***.***.***,SSDP,175,M-SEARCH * HTTP/1.1 
248,249,53.456932,***.***.***.***,***.***.***.***,DNS,79,Standard query 0x09c0 A clients2.google.com
249,250,53.488573,***.***.***.***,***.***.***.***,DNS,199,Standard query response 0x09c0 A clients2.google.com CNAME clients.l.google.com A ***.***.***.*** A ***.***.***.*** A ***.***.***.*** A ***.***.***.*** A ***.***.***.*** A ***.***.***.***
250,251,53.604554,***.***.***.***,***.***.***.***,TCP,66,49163  >  443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1
251,252,53.622167,***.***.***.***,***.***.***.***,TCP,58,"443  >  49163 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
252,253,53.622365,***.***.***.***,***.***.***.***,TCP,54,49163  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0
253,254,53.744303,***.***.***.***,***.***.***.***,TLSv1.2,215,Client Hello
254,255,53.744688,***.***.***.***,***.***.***.***,TCP,54,443  >  49163 [ACK] Seq=1 Ack=162 Win=65535 Len=0
255,256,53.761264,***.***.***.***,***.***.***.***,TLSv1.2,1466,Server Hello
256,257,53.761717,***.***.***.***,***.***.***.***,TCP,1466,"443  >  49163 [PSH, ACK] Seq=1413 Ack=162 Win=65535 Len=1412 [TCP segment of a reassembled PDU]"
257,258,53.761853,***.***.***.***,***.***.***.***,TCP,54,49163  >  443 [ACK] Seq=162 Ack=2825 Win=64240 Len=0
258,259,53.76199,***.***.***.***,***.***.***.***,TCP,1514,443  >  49163 [ACK] Seq=2825 Ack=162 Win=65535 Len=1460 [TCP segment of a reassembled PDU]
259,260,53.762003,***.***.***.***,***.***.***.***,TCP,1418,"443  >  49163 [PSH, ACK] Seq=4285 Ack=162 Win=65535 Len=1364 [TCP segment of a reassembled PDU]"
