,No.,Time,Source,Destination,Protocol,Length,Info
86,87,11.295004,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xc4c8 A isatap
87,88,11.497824,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
88,89,11.497827,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
89,90,11.643134,192.168.56.101,8.8.8.8,DNS,85,Standard query 0x971a A teredo.ipv6.microsoft.com
90,91,11.726667,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
91,92,11.726672,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
92,93,11.935041,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
93,94,11.935045,192.168.56.101,192.168.56.255,NBNS,92,Name query NB WPAD<00>
94,95,11.968234,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
95,96,11.968238,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
96,97,11.997836,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
97,98,11.997837,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
98,99,12.028742,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
99,100,12.028744,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
100,101,12.059998,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
101,102,12.060001,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
102,103,12.247361,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
103,104,12.247366,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
104,105,12.262666,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
105,106,12.262668,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
106,107,12.279241,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
107,108,12.279243,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
108,109,12.457505,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
109,110,12.457509,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
110,111,12.641208,192.168.56.101,8.8.8.8,DNS,85,Standard query 0x971a A teredo.ipv6.microsoft.com
111,112,12.695313,192.168.56.101,8.8.8.8,DNS,76,Standard query 0xab76 A www.msftncsi.com
112,113,13.004612,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
113,114,13.004616,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
114,115,13.199526,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
115,116,13.19953,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
116,117,13.64468,192.168.56.101,8.8.8.8,DNS,85,Standard query 0x971a A teredo.ipv6.microsoft.com
117,118,13.693393,192.168.56.101,8.8.8.8,DNS,76,Standard query 0xab76 A www.msftncsi.com
118,119,13.761655,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x025f A isatap
119,120,13.761657,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x025f A isatap
120,121,13.784981,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
121,122,13.784985,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
122,123,13.784994,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,192.168.56.1 is at 0a:00:27:00:00:00
123,124,13.802382,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
124,125,13.802386,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
125,126,13.802395,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,192.168.56.1 is at 0a:00:27:00:00:00
126,127,13.88131,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x025f A isatap
127,128,13.881312,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0x025f A isatap
128,129,13.949644,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
129,130,13.949647,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<1e>
130,131,14.076832,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
131,132,14.076837,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
132,133,14.697116,192.168.56.101,8.8.8.8,DNS,76,Standard query 0xab76 A www.msftncsi.com
133,134,14.710108,192.168.56.101,192.168.56.255,BROWSER,217,Request Announcement NONE
134,135,14.71011,192.168.56.101,192.168.56.255,BROWSER,217,Request Announcement NONE
135,136,14.721906,192.168.56.101,192.168.56.255,BROWSER,243,"Host Announcement NONE, Workstation, Server, NT Workstation, Potential Browser"
136,137,14.721909,192.168.56.101,192.168.56.255,BROWSER,243,"Host Announcement NONE, Workstation, Server, NT Workstation, Potential Browser"
137,138,14.835148,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
138,139,14.835152,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
139,140,14.971804,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
140,141,14.971808,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
141,142,15.091616,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
142,143,15.091619,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
143,144,15.138412,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
144,145,15.138414,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
145,146,15.185294,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
146,147,15.185298,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
147,148,15.262634,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
148,149,15.262635,192.168.56.101,239.255.255.250,SSDP,139,M-SEARCH * HTTP/1.1 
149,150,15.279115,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
150,151,15.279117,192.168.56.101,239.255.255.250,SSDP,171,M-SEARCH * HTTP/1.1 
151,152,15.575162,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
152,153,15.575167,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
153,154,15.637872,192.168.56.101,8.8.8.8,DNS,85,Standard query 0x971a A teredo.ipv6.microsoft.com
